name,width,height,qty
Hang End Panel,14,48,2
Hang Center Divider,14,48,1
Hang Top Shelf (fixed),14,53.5,1
Hang Bottom Rail,14,53.5,1
Hang Wall Cleat — Top,3.5,55,1
Hang Wall Cleat — Bottom,3.5,55,1
Shelf End Panel,14,66,2
Shelf Top Shelf (fixed),14,25.5,1
Shelf Bottom Rail,14,25.5,1
Adjustable Shelf,14,25.5,5
Shelf Wall Cleat — Top,3.5,27,1
Shelf Wall Cleat — Bottom,3.5,27,1
